url,label,polluted,appliance,raw,name
https://prod.danawa.com/info/?pcode=30766856,genuine,False,True,삼성전자,삼성전자 그랑데 AI WF21CB6650BW + DV17CB6
https://prod.danawa.com/info/?pcode=108693854,genuine,True,False,삼성전자 (제조사 웹사이트 바로가기),"삼성전자 비스포크 AI 콤보 WD80H25BHW (+수납함, "
https://prod.danawa.com/info/?pcode=78532055,genuine,False,True,LG전자,LG전자 올레드 evo AI OLED77C5FNA (스탠드)
https://prod.danawa.com/info/?pcode=104615135,genuine,True,False,LG전자 통돌이,LG전자 통돌이 컴포트 T19OZ0 (일반판매처)
https://prod.danawa.com/info/?pcode=95203529,genuine,False,True,LG전자,LG전자 QNED AI 75QNED65ABA (벽걸이+사운드바
https://prod.danawa.com/info/?pcode=122617984,genuine,True,True,삼성전자 비스포크 AI,삼성전자 비스포크 AI CC80H63E1HS (빌트인)
https://prod.danawa.com/info/?pcode=109599731,genuine,True,False,삼성전자 (제조사 웹사이트 바로가기),삼성전자 비스포크 AI 스팀 플러스 VR80F01ADG (단품
https://prod.danawa.com/info/?pcode=82630370,genuine,False,True,LG전자,LG전자 트롬 AI 오브제컬렉션 워시타워 WA2525GEHF 
https://prod.danawa.com/info/?pcode=95203448,genuine,False,True,LG전자,LG전자 QNED AI 75QNED65ABA (벽걸이+사운드바
https://prod.danawa.com/info/?pcode=122632211,genuine,True,False,LG전자 그램북,LG전자 그램북 16U55U-GS5HK (SSD 2TB)
https://prod.danawa.com/info/?pcode=95203478,genuine,False,True,LG전자,LG전자 QNED AI 75QNED65ABA (벽걸이+사운드바
https://prod.danawa.com/info/?pcode=95850233,genuine,True,False,삼성전자 비스포크 키친핏 Max,삼성전자 비스포크 키친핏 Max RM70F63R2XJ (수도권
https://prod.danawa.com/info/?pcode=99477893,genuine,False,True,LG전자,LG전자 트롬 AI 오브제컬렉션 RD25ES (일반판매처)
https://prod.danawa.com/info/?pcode=104595941,genuine,False,True,LG전자,LG전자 휘센 AI 오브제컬렉션 뷰 프로 6시리즈 FQ18GV
https://prod.danawa.com/info/?pcode=122628176,genuine,False,True,LG전자,LG전자 휘센 AI 오브제컬렉션 뷰 3시리즈 FQ18GV3EA
https://prod.danawa.com/info/?pcode=75855938,genuine,False,True,삼성전자,삼성전자 비스포크 제트 AI Lite VS28D950ACB
https://prod.danawa.com/info/?pcode=58849853,genuine,False,True,LG전자,LG전자 트롬 오브제컬렉션 워시타워 W21EGAM (일반판매처
https://prod.danawa.com/info/?pcode=122617414,genuine,True,True,삼성전자 비스포크 AI,삼성전자 비스포크 AI CC80H63G1HS (빌트인)
https://prod.danawa.com/info/?pcode=122622118,genuine,False,True,LG전자,LG전자 QNED evo AI 75QNED80BEA (벽걸이)
https://prod.danawa.com/info/?pcode=96649013,genuine,False,True,LG전자,LG전자 올레드 evo AI OLED77C5FNA (벽걸이+사
https://prod.danawa.com/info/?pcode=122622067,genuine,False,True,LG전자,LG전자 QNED evo AI 75QNED80BEA (스탠드)
https://prod.danawa.com/info/?pcode=108406961,genuine,False,True,LG전자,LG전자 올레드 evo AI OLED65G6KNA (밀착 벽걸
https://prod.danawa.com/info/?pcode=95203406,genuine,False,True,LG전자,LG전자 QNED AI 75QNED65ABA (스탠드+사운드바
https://prod.danawa.com/info/?pcode=95200079,genuine,True,False,LG전자 (제조사 웹사이트 바로가기),LG전자 디오스 AI 오브제컬렉션 M876GBB131 (전국무
https://prod.danawa.com/info/?pcode=85605692,genuine,False,True,LG전자,LG전자 트롬 AI 오브제컬렉션 워시타워 WA2525EEHF 
https://prod.danawa.com/info/?pcode=108463673,genuine,True,False,삼성전자 (제조사 웹사이트 바로가기),삼성전자 비스포크 AI 콤보 WD90H25AHS (기본형)
https://prod.danawa.com/info/?pcode=78532109,genuine,False,True,LG전자,LG전자 올레드 evo AI OLED77C5FNA (벽걸이)
https://prod.danawa.com/info/?pcode=11715023,genuine,False,True,삼성전자,삼성전자 DV90T5540BV (일반판매처)
https://prod.danawa.com/info/?pcode=122620046,genuine,False,True,삼성전자,삼성전자 AI Q9000 AF60F17D11BRS ((전국)기
https://prod.danawa.com/info/?pcode=90111164,genuine,False,True,LG전자,LG전자 오브제컬렉션 코드제로 AI A9 AI948WA (일반
https://prod.danawa.com/info/?pcode=78177962,genuine,False,True,LG전자,LG전자 QNED AI 75QNED65ABA (스탠드)
https://prod.danawa.com/info/?pcode=77705138,genuine,True,False,삼성전자 비스포크 키친핏 Max,삼성전자 비스포크 키친핏 Max RM70F63R2XJ (전국무
https://prod.danawa.com/info/?pcode=96649010,genuine,False,True,LG전자,LG전자 올레드 evo AI OLED77C5FNA (스탠드+사
https://prod.danawa.com/info/?pcode=16076870,genuine,False,True,LG전자,LG전자 트롬 워시타워 W20WD (일반판매처)
https://prod.danawa.com/info/?pcode=122618392,genuine,True,False,삼성전자 (제조사 웹사이트 바로가기),삼성전자 올인원 PRO DM970AGA-L51AG Win11P
https://prod.danawa.com/info/?pcode=81984779,genuine,False,True,삼성전자,삼성전자 AI Q9000 AF60F17D11BRS (기본설치비
https://prod.danawa.com/info/?pcode=78843278,genuine,True,False,삼성전자 비스포크 키친핏 Max,삼성전자 비스포크 키친핏 Max AI 하이브리드 RM70F64
https://prod.danawa.com/info/?pcode=122632205,genuine,True,False,LG전자 그램북,LG전자 그램북 16U55U-GS5HK (SSD 1TB)
https://prod.danawa.com/info/?pcode=77460593,genuine,False,True,LG전자,LG전자 휘센 SQ06FA1WDS (공식인증 설치)
https://prod.danawa.com/info/?pcode=107992193,genuine,False,True,쿠쿠전자,쿠쿠전자 AI 트리플 프리존 인덕션 CIR-JS301FW (빌
https://prod.danawa.com/info/?pcode=122619701,genuine,False,True,LG전자,LG전자 트롬 오브제컬렉션 FX24ENER + RD20GNG 
https://prod.danawa.com/info/?pcode=60418556,genuine,False,True,LG전자,LG전자 트롬 오브제컬렉션 RG20WN (일반판매처)
https://prod.danawa.com/info/?pcode=106716974,genuine,True,False,LG전자 트롬,LG전자 트롬 F21WDSPR (일반판매처)
https://prod.danawa.com/info/?pcode=97408256,genuine,False,True,삼성전자,삼성전자 비스포크 AI 원바디 WH90F2520GBHY (일반
